Módulo: 32603
220 → 0.009784
221 → 0.663344
222 → 0.768457
223 → 0.637671
224 → 0.404135
225 → 0.702880
226 → 0.489618
227 → 0.234978
228 → 0.946324
229 → 0.875073
230 → 0.762384
231 → 0.605251
232 → 0.892679
233 → 0.755360
234 → 0.411189
235 → 0.902156
236 → 0.366561
237 → 0.315431
238 → 0.623286
239 → 0.958654
240 → 0.971199
241 → 0.103825
242 → 0.650216
243 → 0.536760
244 → 0.249272
245 → 0.376162
246 → 0.947489
247 → 0.073214
248 → 0.446401
249 → 0.888108
250 → 0.978438
251 → 0.334386
252 → 0.845689
253 → 0.767138
254 → 0.413459
255 → 0.288010
256 → 0.961752
257 → 0.497838
258 → 0.632396
259 → 0.507285
260 → 0.238383
261 → 0.525105
262 → 0.267859
263 → 0.535994
264 → 0.118915
265 → 0.215624
266 → 0.656136
267 → 0.543110
268 → 0.328620
269 → 0.865411
270 → 0.119897
271 → 0.382480
272 → 0.021624
273 → 0.676042
274 → 0.927154
275 → 0.616170
276 → 0.748949
277 → 0.321412
278 → 0.640064
279 → 0.810846
280 → 0.843757
281 → 0.438641
282 → 0.568905
283 → 0.713799
284 → 0.345888
285 → 0.801031
286 → 0.175199
287 → 0.783762
288 → 0.239579
289 → 0.728461
290 → 0.838297
291 → 0.510505
292 → 0.785879
293 → 0.599362
294 → 0.891544
295 → 0.562433
296 → 0.613594
297 → 0.310953
298 → 0.862007
299 → 0.541116
300 → 0.989694
301 → 0.248014
302 → 0.162378
303 → 0.604208
304 → 0.715394
305 → 0.617029
306 → 0.894948
307 → 0.141214
308 → 0.006380
309 → 0.084563
310 → 0.375671
311 → 0.864062
312 → 0.890470
313 → 0.379934
314 → 0.588842
315 → 0.103058
316 → 0.519860
317 → 0.376223
318 → 0.957918
319 → 0.846057
320 → 0.829709
321 → 0.050517
322 → 0.587860
323 → 0.936202
324 → 0.154372
325 → 0.243290
326 → 0.359384
327 → 0.095298
328 → 0.200656
329 → 0.111585
330 → 0.969420
331 → 0.801399
332 → 0.237770
333 → 0.420820
334 → 0.539429
335 → 0.702911
336 → 0.494832
337 → 0.121400
338 → 0.637978
339 → 0.456277
340 → 0.567095
341 → 0.406159
342 → 0.047020
343 → 0.993436
344 → 0.884152
345 → 0.305800
346 → 0.986014
347 → 0.622305
348 → 0.791798
349 → 0.605711
350 → 0.970892
351 → 0.051682
352 → 0.786001
353 → 0.620219
354 → 0.437230
355 → 0.329049
356 → 0.938411
357 → 0.529798
358 → 0.065638
359 → 0.158482
360 → 0.941999
361 → 0.139864
362 → 0.776953
363 → 0.082017
364 → 0.942889
365 → 0.291078
366 → 0.483176
367 → 0.139987
368 → 0.797810
369 → 0.627703
370 → 0.709505
371 → 0.615894
372 → 0.702021
373 → 0.343619
374 → 0.415177
375 → 0.580008
376 → 0.601356
377 → 0.230470
378 → 0.179830
379 → 0.571113
380 → 0.089225
381 → 0.168236
382 → 0.600129
383 → 0.021900
384 → 0.722970
385 → 0.904947
386 → 0.841058
387 → 0.979787
388 → 0.563813
389 → 0.848235
390 → 0.199920
391 → 0.986443
392 → 0.695304
393 → 0.201699
394 → 0.288869
395 → 0.107751
396 → 0.317639
397 → 0.998712
398 → 0.781002
399 → 0.770297
400 → 0.950526
401 → 0.589424
402 → 0.202129
403 → 0.361869
404 → 0.517652
405 → 0.000797
406 → 0.135570
407 → 0.046959
408 → 0.983008
409 → 0.111309
410 → 0.922492
411 → 0.823605
412 → 0.012882
413 → 0.189983
414 → 0.297028
415 → 0.494740
416 → 0.105757
417 → 0.978714
418 → 0.381315
419 → 0.823483
420 → 0.992025
421 → 0.644297
422 → 0.530411
423 → 0.169923
424 → 0.886912
425 → 0.775082
426 → 0.763948
427 → 0.871177
428 → 0.100175
429 → 0.029721
430 → 0.052603
431 → 0.942429
432 → 0.212864
433 → 0.186854
434 → 0.765175
435 → 0.079747
436 → 0.557035
437 → 0.695887
438 → 0.300770
439 → 0.130878
440 → 0.249180
441 → 0.360519
442 → 0.288225
443 → 0.998252
444 → 0.702788
445 → 0.473975
446 → 0.575714
447 → 0.871362
448 → 0.131460
449 → 0.348250
450 → 0.202527
451 → 0.429654
452 → 0.041131
453 → 0.992301
454 → 0.691225
455 → 0.508205
456 → 0.394810
457 → 0.117750
458 → 0.017483
459 → 0.972119
460 → 0.260252
461 → 0.242861
462 → 0.286385
463 → 0.685397
464 → 0.517498
465 → 0.974726
466 → 0.703463
467 → 0.588688
468 → 0.076987
469 → 0.087753
470 → 0.917952
471 → 0.051897
472 → 0.822501
473 → 0.825169
474 → 0.278809
475 → 0.397479
476 → 0.571389
477 → 0.136153
478 → 0.146030
479 → 0.825016
480 → 0.252737
481 → 0.965371
482 → 0.113118
483 → 0.230132
484 → 0.122473
485 → 0.820477
486 → 0.481029
487 → 0.774990
488 → 0.748305
489 → 0.211913
490 → 0.025212
491 → 0.286109
492 → 0.638469
493 → 0.539705
494 → 0.749839
495 → 0.472625
496 → 0.346287
497 → 0.868816
498 → 0.698678
499 → 0.775266
500 → 0.795234
501 → 0.189706
502 → 0.250100
503 → 0.516946
504 → 0.880870
505 → 0.747876
506 → 0.138914
507 → 0.615311
508 → 0.602951
509 → 0.501610
510 → 0.273748
511 → 0.537128
512 → 0.311842
513 → 0.013220
514 → 0.247339
515 → 0.047664
516 → 0.102935
517 → 0.499003
518 → 0.830537
519 → 0.191301
520 → 0.521240
521 → 0.610864
522 → 0.846885
523 → 0.970494
524 → 0.983897
525 → 0.262522
526 → 0.628715
527 → 0.881575
528 → 0.867804
529 → 0.526608
530 → 0.523357
531 → 0.970647
532 → 0.009968
533 → 0.694629
534 → 0.086986
535 → 0.787596
536 → 0.891360
537 → 0.531147
538 → 0.295065
539 → 0.161028
540 → 0.374781
541 → 0.712849
542 → 0.184247
543 → 0.321964
544 → 0.733920
545 → 0.766433
546 → 0.293531
547 → 0.900316
548 → 0.053707
549 → 0.130141
550 → 0.124038
551 → 0.086403
552 → 0.688526
553 → 0.049351
554 → 0.389719
555 → 0.252185
556 → 0.871515
557 → 0.157532
558 → 0.780358
559 → 0.660798
560 → 0.335675
561 → 0.064687
562 → 0.996841
563 → 0.462933
564 → 0.698586
565 → 0.759623
566 → 0.135969
567 → 0.114744
568 → 0.506487
569 → 0.102813
570 → 0.478146
571 → 0.284851
572 → 0.424685
573 → 0.196424
574 → 0.392019
575 → 0.643254
576 → 0.353127
577 → 0.031592
578 → 0.370671
579 → 0.014140
580 → 0.403767
581 → 0.640309
582 → 0.852560
583 → 0.935129
584 → 0.971874
585 → 0.218538
586 → 0.151489
587 → 0.753152
588 → 0.035764
589 → 0.079809
590 → 0.567463
591 → 0.468730
592 → 0.684078
593 → 0.293286
594 → 0.858602
595 → 0.962335
596 → 0.596908
597 → 0.474404
598 → 0.648713
599 → 0.281262
600 → 0.814618
601 → 0.485109
602 → 0.468484
603 → 0.642364
604 → 0.201914
605 → 0.325369
606 → 0.312701
607 → 0.159218
608 → 0.067141
609 → 0.413980
610 → 0.376652
611 → 0.030917
612 → 0.255958
613 → 0.512867
614 → 0.187375
615 → 0.853817
616 → 0.148913
617 → 0.315155
618 → 0.576358
619 → 0.980861
620 → 0.746312
621 → 0.872987
622 → 0.407815
623 → 0.328589
624 → 0.860197
625 → 0.233475
626 → 0.690826
627 → 0.440420
628 → 0.871331
629 → 0.126246
630 → 0.461829
631 → 0.510873
632 → 0.848450
633 → 0.236420
634 → 0.191393
635 → 0.536883
636 → 0.270129
637 → 0.921848
638 → 0.714106
639 → 0.398031
640 → 0.665246
641 → 0.091740
642 → 0.595804
643 → 0.286691
644 → 0.737539
645 → 0.381713
646 → 0.891268
647 → 0.515505
648 → 0.635800
649 → 0.086066
650 → 0.631169
651 → 0.298715
652 → 0.781523
653 → 0.858939
654 → 0.019691
655 → 0.347545
656 → 0.082600
657 → 0.041959
658 → 0.133086
659 → 0.624605
660 → 0.182867
661 → 0.087323
662 → 0.844953
663 → 0.641996
664 → 0.139343
665 → 0.688311
666 → 0.012852
667 → 0.184768
668 → 0.410606
669 → 0.803086
670 → 0.524553
671 → 0.174002
672 → 0.580407
673 → 0.669141
674 → 0.753949
675 → 0.171334
676 → 0.126767
677 → 0.550471
678 → 0.580039
679 → 0.606570
680 → 0.116891
681 → 0.871484
682 → 0.152317
683 → 0.893936
684 → 0.969144
685 → 0.754470
686 → 0.259976
687 → 0.195933
688 → 0.308591
689 → 0.460510
690 → 0.286661
691 → 0.732325
692 → 0.495292
693 → 0.199614
694 → 0.934301
695 → 0.831089
696 → 0.285158
697 → 0.476827
698 → 0.060639
699 → 0.308561
700 → 0.455296
701 → 0.400239
702 → 0.040671
703 → 0.914088
704 → 0.394902
705 → 0.133393
706 → 0.676748
707 → 0.047082
708 → 0.003865
709 → 0.656995
710 → 0.689108
711 → 0.148422
712 → 0.231727
713 → 0.393614
714 → 0.914394
715 → 0.447045
716 → 0.997608
717 → 0.593289
718 → 0.859123
719 → 0.050977
720 → 0.666074
721 → 0.232525
722 → 0.529184
723 → 0.961353
724 → 0.430052
725 → 0.108916
726 → 0.515781
727 → 0.682729
728 → 0.063859
729 → 0.856056
730 → 0.529552
731 → 0.023924
732 → 0.067110
733 → 0.408766
734 → 0.490231
735 → 0.339263
736 → 0.674754
737 → 0.708156
738 → 0.386468
739 → 0.699476
740 → 0.910836
741 → 0.842192
742 → 0.172714
743 → 0.361408
744 → 0.439438
745 → 0.704475
746 → 0.760758
747 → 0.328896
748 → 0.912339
749 → 0.097690
750 → 0.607367
751 → 0.252461
752 → 0.918443
753 → 0.135325
754 → 0.005245
755 → 0.891636
756 → 0.578076
757 → 0.272858
758 → 0.385915
759 → 0.605619
760 → 0.955250
761 → 0.392418
762 → 0.711039
763 → 0.876606
764 → 0.023096
765 → 0.926326
766 → 0.475386
767 → 0.815569
768 → 0.646750
769 → 0.947551
770 → 0.083643
771 → 0.219244
772 → 0.271417
773 → 0.140846
774 → 0.943809
775 → 0.447505
776 → 0.075821
777 → 0.889611
778 → 0.233936
779 → 0.769040
780 → 0.736742
781 → 0.246143
782 → 0.844309
783 → 0.532497
784 → 0.524492
785 → 0.163574
786 → 0.807564
787 → 0.285833
788 → 0.591541
789 → 0.561911
790 → 0.524952
791 → 0.241788
792 → 0.103886
793 → 0.660645
794 → 0.309603
795 → 0.632580
796 → 0.538570
797 → 0.556912
798 → 0.675030
799 → 0.755084
800 → 0.364261
801 → 0.924363
802 → 0.141674
803 → 0.084593
804 → 0.380885
805 → 0.750483
806 → 0.582124
807 → 0.961139
808 → 0.393553
809 → 0.903966
810 → 0.674202
811 → 0.614299
812 → 0.430881
813 → 0.249701
814 → 0.449161
815 → 0.357390
816 → 0.756372
817 → 0.583259
818 → 0.154066
819 → 0.191148
820 → 0.495169
821 → 0.178757
822 → 0.388615
823 → 0.064473
824 → 0.960341
825 → 0.257982
826 → 0.857007
827 → 0.691194
828 → 0.502991
829 → 0.508389
830 → 0.426096
831 → 0.436279
832 → 0.167408
833 → 0.459344
834 → 0.088519
835 → 0.048308
836 → 0.212434
837 → 0.113855
838 → 0.355274
839 → 0.396589
840 → 0.420176
841 → 0.429930
842 → 0.088059
843 → 0.970095
844 → 0.916112
845 → 0.739042
846 → 0.637211
847 → 0.325921
848 → 0.406558
849 → 0.114805
850 → 0.516916
851 → 0.875656
852 → 0.861454
853 → 0.447259
854 → 0.034107
855 → 0.798239
856 → 0.700702
857 → 0.119406
858 → 0.299052
859 → 0.838880
860 → 0.609576
861 → 0.627887
862 → 0.740791
863 → 0.934423
864 → 0.851946
865 → 0.830844
866 → 0.243444
867 → 0.385455
868 → 0.527405
869 → 0.658927
870 → 0.017606
871 → 0.992976
872 → 0.805938
873 → 0.009478
874 → 0.611201
875 → 0.904242
876 → 0.721130
877 → 0.592093
878 → 0.655768
879 → 0.480539
880 → 0.691562
881 → 0.565561
882 → 0.145447
883 → 0.725945
884 → 0.410729
885 → 0.823943
886 → 0.070239
887 → 0.940619
888 → 0.905223
889 → 0.887986
890 → 0.957581
891 → 0.788700
892 → 0.079072
893 → 0.442321
894 → 0.194614
895 → 0.084379
896 → 0.344385
897 → 0.545533
898 → 0.740545
899 → 0.892709
900 → 0.760574
901 → 0.297611
902 → 0.593810
903 → 0.947766
904 → 0.120142
905 → 0.424194
906 → 0.112996
907 → 0.209275
908 → 0.576787
909 → 0.053860
910 → 0.156213
911 → 0.556145
912 → 0.544674
913 → 0.594547
914 → 0.072907
915 → 0.394258
916 → 0.023894
917 → 0.061896
918 → 0.522345
919 → 0.798577
920 → 0.758059
921 → 0.870043
922 → 0.907248
923 → 0.232126
924 → 0.461399
925 → 0.437874
926 → 0.438549
927 → 0.553262
928 → 0.054535
929 → 0.270926
930 → 0.057418
931 → 0.761065
932 → 0.381039
933 → 0.776554
934 → 0.014232
935 → 0.419409
936 → 0.299574
937 → 0.927522
938 → 0.678741
939 → 0.386007
940 → 0.621262
941 → 0.614514
942 → 0.467380
943 → 0.454651
944 → 0.290740
945 → 0.425820
946 → 0.389351
947 → 0.189614
948 → 0.234457
949 → 0.857682
950 → 0.805907
951 → 0.004263
952 → 0.724780
953 → 0.212588
954 → 0.139926
955 → 0.787382
956 → 0.854860
957 → 0.326197
958 → 0.453486
959 → 0.092599
960 → 0.741803
961 → 0.106493
962 → 0.103855
963 → 0.655430
964 → 0.423182
965 → 0.940926
966 → 0.957366
967 → 0.752201
968 → 0.874122
969 → 0.600742
970 → 0.126185
971 → 0.451400
972 → 0.738030
973 → 0.465141
974 → 0.074012
975 → 0.581971
976 → 0.935067
977 → 0.961445
978 → 0.445695
979 → 0.768181
980 → 0.590743
981 → 0.426341
982 → 0.477993
983 → 0.258780
984 → 0.992577
985 → 0.738153
986 → 0.485998
987 → 0.619698
988 → 0.348588
989 → 0.259884
990 → 0.180290
991 → 0.649327
992 → 0.385547
993 → 0.543048
994 → 0.318192
995 → 0.092568
996 → 0.736589
997 → 0.220072
998 → 0.412201
999 → 0.074226
1000 → 0.618471
1001 → 0.140018
1002 → 0.803024
1003 → 0.514124
1004 → 0.401159
1005 → 0.197098
1006 → 0.506733
1007 → 0.144527
1008 → 0.569518
1009 → 0.818084
1010 → 0.074318
1011 → 0.634113
1012 → 0.799282
1013 → 0.877987
1014 → 0.257737
1015 → 0.815293
1016 → 0.599822
1017 → 0.969757
1018 → 0.858755
1019 → 0.988406
1020 → 0.029016
1021 → 0.932675
1022 → 0.554734
1023 → 0.304819
1024 → 0.819158
1025 → 0.256817
1026 → 0.658866
1027 → 0.007177
1028 → 0.220133
1029 → 0.422630
1030 → 0.847069
1031 → 0.001779
1032 → 0.302426
1033 → 0.412447
1034 → 0.115940
1035 → 0.709843
1036 → 0.673251
1037 → 0.452658
1038 → 0.951814
1039 → 0.808423
1040 → 0.431831
1041 → 0.411343
1042 → 0.928227
1043 → 0.798669
1044 → 0.773702
1045 → 0.529307
1046 → 0.982210
1047 → 0.975738
1048 → 0.875533
1049 → 0.840597
1050 → 0.901573
1051 → 0.267491
1052 → 0.473423
1053 → 0.481857
1054 → 0.915775
1055 → 0.681686
1056 → 0.886575
1057 → 0.717725
1058 → 0.013312
1059 → 0.262982
1060 → 0.706929
1061 → 0.177898
1062 → 0.242616
1063 → 0.244671
1064 → 0.594025
1065 → 0.984265
1066 → 0.325093
1067 → 0.265773
1068 → 0.181425
1069 → 0.842254
1070 → 0.183143
1071 → 0.134251
1072 → 0.822746
1073 → 0.866883
1074 → 0.370181
1075 → 0.930712
1076 → 0.221023
1077 → 0.573843
1078 → 0.553293
1079 → 0.059749
1080 → 0.157347
1081 → 0.749072
1082 → 0.342269
1083 → 0.185750
1084 → 0.577462
1085 → 0.168573
1086 → 0.657486
1087 → 0.772536
1088 → 0.331166
1089 → 0.298193
1090 → 0.692881
1091 → 0.789774
1092 → 0.261571
1093 → 0.467074
1094 → 0.402509
1095 → 0.426525
1096 → 0.509278
1097 → 0.577309
1098 → 0.142502
1099 → 0.225378
1100 → 0.314266
1101 → 0.425145
1102 → 0.274637
1103 → 0.688342
1104 → 0.018066
1105 → 0.071190
1106 → 0.102261
1107 → 0.384290
1108 → 0.329264
1109 → 0.974910
1110 → 0.734748
1111 → 0.907217
1112 → 0.226912
1113 → 0.574978
1114 → 0.746220
1115 → 0.857344
1116 → 0.748551
1117 → 0.253627
1118 → 0.116584
1119 → 0.819342
1120 → 0.288102
1121 → 0.977395
1122 → 0.157102
1123 → 0.707358
1124 → 0.250897
1125 → 0.652517
1126 → 0.927829
1127 → 0.730884
1128 → 0.250222
1129 → 0.537803
1130 → 0.426556
1131 → 0.514493
1132 → 0.463730
1133 → 0.834156
1134 → 0.806582
1135 → 0.118977
1136 → 0.226053
1137 → 0.428979
1138 → 0.926418
1139 → 0.491028
1140 → 0.474834
1141 → 0.721713
1142 → 0.691163
1143 → 0.497776
1144 → 0.621967
1145 → 0.734442
1146 → 0.855075
1147 → 0.362697
1148 → 0.658436
1149 → 0.934178
1150 → 0.810232
1151 → 0.739472
1152 → 0.710211
1153 → 0.735822
1154 → 0.089716
1155 → 0.251664
1156 → 0.782873
1157 → 0.088366
1158 → 0.022237
1159 → 0.780327
1160 → 0.655584
1161 → 0.449253
1162 → 0.373033
1163 → 0.415637
1164 → 0.658222
1165 → 0.897678
1166 → 0.605282
1167 → 0.897893
1168 → 0.641781
1169 → 0.102843
1170 → 0.483360
1171 → 0.171273
1172 → 0.116339
1173 → 0.777628
1174 → 0.196730
1175 → 0.444162
1176 → 0.507469
1177 → 0.269668
1178 → 0.843634
1179 → 0.417784
1180 → 0.023219
1181 → 0.947183
1182 → 0.021072
1183 → 0.582186
1184 → 0.971567
1185 → 0.166396
1186 → 0.287274
1187 → 0.836610
1188 → 0.223722
1189 → 0.032696
1190 → 0.558384
1191 → 0.925314
1192 → 0.303316
1193 → 0.563660
1194 → 0.822164
1195 → 0.767813
1196 → 0.528172
1197 → 0.789283
1198 → 0.178143
1199 → 0.284330
1200 → 0.336043
1201 → 0.127258
1202 → 0.633899
1203 → 0.762783
1204 → 0.673036
1205 → 0.416158
1206 → 0.746864
1207 → 0.966844
1208 → 0.363402
1209 → 0.778364
1210 → 0.321872
1211 → 0.718277
1212 → 0.107168
1213 → 0.218569
1214 → 0.156703
1215 → 0.639573
1216 → 0.727418
1217 → 0.661013
1218 → 0.372174
1219 → 0.269638
1220 → 0.838420
1221 → 0.531362
1222 → 0.331565
1223 → 0.365979
1224 → 0.216360
1225 → 0.781278
1226 → 0.817225
1227 → 0.928319
1228 → 0.814312
1229 → 0.432966
1230 → 0.604270
1231 → 0.725823
1232 → 0.389872
1233 → 0.278257
1234 → 0.303622
1235 → 0.615802
1236 → 0.686379
1237 → 0.684354
1238 → 0.340214
1239 → 0.836395
1240 → 0.187222
1241 → 0.827746
1242 → 0.716805
1243 → 0.856884
1244 → 0.670337
1245 → 0.957305
1246 → 0.741772
1247 → 0.101279
1248 → 0.217434
1249 → 0.963776
1250 → 0.841978
1251 → 0.136214
1252 → 0.156458
1253 → 0.597859
1254 → 0.636046
1255 → 0.127780
1256 → 0.722541
1257 → 0.831948
1258 → 0.431157
1259 → 0.296629
1260 → 0.426955
1261 → 0.582278
1262 → 0.987210
1263 → 0.825660
1264 → 0.362237
1265 → 0.580223
1266 → 0.637855
1267 → 0.435420
1268 → 0.021409
1269 → 0.639542
1270 → 0.722203
1271 → 0.774591
1272 → 0.680520
1273 → 0.688434
1274 → 0.033709
1275 → 0.730454
1276 → 0.177223
1277 → 0.127902
1278 → 0.743398
1279 → 0.377634
1280 → 0.197773
1281 → 0.621446
1282 → 0.645799
1283 → 0.785909
1284 → 0.604576
1285 → 0.777965
1286 → 0.254087
1287 → 0.194798
1288 → 0.115664
1289 → 0.662914
1290 → 0.695457
1291 → 0.227770
1292 → 0.720977
1293 → 0.566022
1294 → 0.223660
1295 → 0.022268
1296 → 0.785541
1297 → 0.542005
1298 → 0.140907
1299 → 0.954237
1300 → 0.220348
1301 → 0.459130
1302 → 0.052020
1303 → 0.843358
1304 → 0.370855
1305 → 0.045425
1306 → 0.722295
1307 → 0.790234
1308 → 0.339785
1309 → 0.763396
1310 → 0.777321
1311 → 0.144588
1312 → 0.579947
1313 → 0.590927
1314 → 0.457627
1315 → 0.796522
1316 → 0.408705
1317 → 0.479802
1318 → 0.566420
1319 → 0.291446
1320 → 0.545747
1321 → 0.777045
1322 → 0.097660
1323 → 0.602153
1324 → 0.366040
1325 → 0.226789
1326 → 0.554121
1327 → 0.200534
1328 → 0.090728
1329 → 0.423734
1330 → 0.034782
1331 → 0.912953
1332 → 0.201975
1333 → 0.335797
1334 → 0.085544
1335 → 0.542527
1336 → 0.229549
1337 → 0.023403
1338 → 0.978468
1339 → 0.339601
1340 → 0.732111
1341 → 0.458792
1342 → 0.994663
1343 → 0.092722
1344 → 0.762660
1345 → 0.652179
1346 → 0.870472
1347 → 0.980247
1348 → 0.642027
1349 → 0.144557
1350 → 0.574732
1351 → 0.704506
1352 → 0.765972
1353 → 0.215318
1354 → 0.603993
1355 → 0.678895
1356 → 0.412079
1357 → 0.053369
1358 → 0.072785
1359 → 0.373401
1360 → 0.478208
1361 → 0.295280
1362 → 0.197528
1363 → 0.579732
1364 → 0.554428
1365 → 0.252676
1366 → 0.954943
1367 → 0.340275
1368 → 0.846824
1369 → 0.960065
1370 → 0.211054
1371 → 0.879214
1372 → 0.466307
1373 → 0.272153
1374 → 0.265988
1375 → 0.217925
1376 → 0.047204
1377 → 0.024722
1378 → 0.202681
1379 → 0.455725
1380 → 0.473239
1381 → 0.450572
1382 → 0.597246
1383 → 0.531761
1384 → 0.399350
1385 → 0.889458
1386 → 0.207864
1387 → 0.336932
1388 → 0.278471
1389 → 0.340122
1390 → 0.820753
1391 → 0.527958
1392 → 0.752783
1393 → 0.973193
1394 → 0.442751
1395 → 0.267613
1396 → 0.494280
1397 → 0.027543
1398 → 0.682391
1399 → 0.006502
1400 → 0.105420
1401 → 0.921357
1402 → 0.630678
1403 → 0.215287
1404 → 0.598779
1405 → 0.792473
1406 → 0.720425
1407 → 0.472165
1408 → 0.268073
1409 → 0.572493
1410 → 0.323866
1411 → 0.057203
1412 → 0.724565
1413 → 0.176088
1414 → 0.934975
1415 → 0.945803
1416 → 0.786431
1417 → 0.693218
1418 → 0.847131
1419 → 0.012207
1420 → 0.075269
1421 → 0.795755
1422 → 0.278349
1423 → 0.319265
1424 → 0.275067
1425 → 0.761341
1426 → 0.427967
1427 → 0.754348
1428 → 0.239119
1429 → 0.650247
1430 → 0.541975
1431 → 0.135693
1432 → 0.067816
1433 → 0.528694
1434 → 0.877925
1435 → 0.247309
1436 → 0.042450
1437 → 0.216514
1438 → 0.807349
1439 → 0.249333
1440 → 0.386590
1441 → 0.720332
1442 → 0.456522
1443 → 0.608809
1444 → 0.497531
1445 → 0.580253
1446 → 0.643070
1447 → 0.321842
1448 → 0.713063
1449 → 0.220747
1450 → 0.526915
1451 → 0.575499
1452 → 0.834862
1453 → 0.926510
1454 → 0.506671
1455 → 0.134098
1456 → 0.796675
1457 → 0.434776
1458 → 0.911910
1459 → 0.024691
1460 → 0.197466
1461 → 0.569303
1462 → 0.781585
1463 → 0.869368
1464 → 0.792534
1465 → 0.730853
1466 → 0.245008
1467 → 0.651382
1468 → 0.734902
1469 → 0.933288
1470 → 0.659019
1471 → 0.033248
1472 → 0.652241
1473 → 0.880901
1474 → 0.753090
1475 → 0.025335
1476 → 0.306966
1477 → 0.184155
1478 → 0.306322
1479 → 0.074656
1480 → 0.691470
1481 → 0.549919
1482 → 0.486182
1483 → 0.650983
1484 → 0.667117
1485 → 0.409809
1486 → 0.667515
1487 → 0.477594
1488 → 0.190995
1489 → 0.469098
1490 → 0.746649
1491 → 0.930344
